variant,N,m,k,w_r,w_m,L,rho,dE_mass,dE_impl,y,y_theory,w_eff,dE_mass_form,dE_impl_form,sign_agree
i_single,1,10.0,7494212759.6375675,1.0,1.1,74.94212759637568,68.12920690579607,30.51327586627095,-0.4999333796367921,67.1292069057961,67.12920690579607,1.0001332584818727,30.513275866270934,-0.4999333796367921,True
i_single,1,10.0,10999999999.999998,1.0,1.1,109.99999999999999,99.99999999999999,45.0,-0.49995459086368177,99.00000000000001,98.99999999999999,1.0000908265213442,44.999999999999986,-0.4999545908636818,True
ii_uniform,8,0.01,101.0,1.0,101.0,1.01,0.01,-0.004900990099009905,-0.004999504999505078,-0.9900000000000009,-0.99,100.00990099009901,-0.004900990099009901,-0.004999504999505,True
ii_uniform,8,0.01,148.24772602982904,1.0,101.0,1.4824772602982905,0.014677992676220698,-0.00487783171942463,-0.005022101605524687,-0.9853220073237753,-0.9853220073237793,99.55991321441229,-0.00487783171942465,-0.005022101605524703,True
ii_uniform,8,0.01,217.5979036932202,1.0,101.0,2.1759790369322016,0.02154434690031883,-0.004843839866830124,-0.005054903232911467,-0.9784556530996851,-0.9784556530996812,98.91386184103374,-0.004843839866830105,-0.005054903232911471,True
ii_uniform,8,0.01,319.39004367700625,1.0,101.0,3.193900436770062,0.031622776601683784,-0.004793946650486713,-0.005102292857808333,-0.9683772233983161,-0.9683772233983162,97.9951590263618,-0.004793946650486713,-0.005102292857808358,True
ii_uniform,8,0.01,468.80047219489046,1.0,101.0,4.6880047219489045,0.04641588833612777,-0.004720713424078593,-0.005170312112804387,-0.9535841116638758,-0.9535841116638722,96.70596070240025,-0.004720713424078576,-0.005170312112804335,True
ii_uniform,8,0.01,688.1049897485407,1.0,101.0,6.881049897485407,0.0681292069057961,-0.004613221747991114,-0.00526709014561727,-0.9318707930942051,-0.9318707930942038,94.92907586099447,-0.004613221747991108,-0.0052670901456172885,True
ii_uniform,8,0.01,1010.0,1.0,101.0,10.1,0.09999999999999999,-0.004455445544554459,-0.005403234872665308,-0.9000000000000008,-0.9,92.53715816232173,-0.004455445544554456,-0.005403234872665287,True
ii_uniform,8,0.01,1482.4772602982898,1.0,101.0,14.824772602982897,0.14677992676220689,-0.004223861748701929,-0.005592093170302792,-0.8532200732377897,-0.8532200732377931,89.41195805808081,-0.004223861748701946,-0.005592093170302866,True
ii_uniform,8,0.01,2175.9790369322022,1.0,101.0,21.759790369322022,0.21544346900318834,-0.0038839432227564807,-0.005849805872055136,-0.7845565309968091,-0.7845565309968117,85.47292182609502,-0.0038839432227564933,-0.005849805872055133,True
ii_uniform,8,0.01,3193.900436770063,1.0,101.0,31.93900436770063,0.31622776601683794,-0.0033850110593225957,-0.0061951735399458085,-0.6837722339831643,-0.683772233983162,80.70798933654615,-0.003385011059322585,-0.006195173539945819,True
ii_uniform,8,0.01,4688.004721948905,1.0,101.0,46.88004721948905,0.46415888336127775,-0.0026526787952412256,-0.006649481959274339,-0.5358411166387276,-0.5358411166387222,75.19382758872291,-0.002652678795241199,-0.006649481959274365,True
ii_uniform,8,0.01,6881.049897485407,1.0,101.0,68.81049897485407,0.6812920690579611,-0.0015777620343665477,-0.007236518629890221,-0.31870793094204264,-0.31870793094203886,69.09399748309352,-0.00157776203436653,-0.007236518629890304,True
ii_uniform,8,0.01,10100.0,1.0,101.0,101.0,1.0,0.0,-0.007982965127933062,0.0,0.0,62.63336892835181,0.0,-0.007982965127933084,band
ii_uniform,8,0.01,14824.772602982895,1.0,101.0,148.24772602982895,1.4677992676220688,0.00231583795852508,-0.00891922177558524,0.46779926762206614,0.4677992676220688,56.05870249450004,0.0023158379585250933,-0.00891922177558525,True
ii_uniform,8,0.01,21759.790369322007,1.0,101.0,217.59790369322008,2.154434690031882,0.005715023217979565,-0.010080722979320833,1.154434690031872,1.154434690031882,49.599617113343946,0.005715023217979613,-0.01008072297932081,True
ii_uniform,8,0.01,31939.004367700632,1.0,101.0,319.39004367700636,3.16227766016838,0.010704344852318748,-0.011510342914020089,2.162277660168387,2.16227766016838,43.439192362459984,0.010704344852318711,-0.011510342914020161,True
ii_uniform,8,0.01,46880.047219489046,1.0,101.0,468.80047219489046,4.641588833612777,0.01802766749313256,-0.013263997644400727,3.641588833612777,3.6415888336127766,37.69602599492853,0.01802766749313256,-0.01326399764440071,True
ii_uniform,8,0.01,68810.49897485404,1.0,101.0,688.1049897485403,6.812920690579607,0.028776835101879228,-0.015423395513522342,5.812920690579604,5.812920690579607,32.41828296250533,0.028776835101879245,-0.015423395513522264,True
ii_uniform,8,0.01,101000.0,1.0,101.0,1010.0,10.0,0.044554455445544594,-0.018119566807078658,9.000000000000007,9.0,27.594478682827354,0.04455445544554455,-0.018119566807078727,True
ii_uniform,8,0.01,148247.72602982895,1.0,101.0,1482.4772602982894,14.677992676220686,0.0677128350307955,-0.021566668201293215,13.677992676220692,13.677992676220686,23.183924161731156,0.06771283503079548,-0.021566668201293184,True
