cell,n_modes,kappa,h,v,w_r,dE_full,inject_full,dE_diag,inject_diag,dE_block2,inject_block2,dE_rank1,inject_rank1
441,6,2.0,0.0005004448470021591,-0.08700979450740215,0.0172906184844884,-0.07386781077696111,0,-0.07396340319627609,0,-0.07867602244147248,0,-0.08746125057261045,0
442,7,2.0,0.007905909326711301,-0.021958407669394633,0.0025452424479628943,-4.310814380759087e-05,0,-0.009030681896283657,0,-0.00045010129909921204,0,-0.048399746210092014,0
443,4,1.0,0.002928796462586881,-0.03559748449501533,1.4865637764958204,-0.0004071871686785934,0,-0.0004018477973385835,0,-0.00040045582032523425,0,-0.0004089586707227137,0
444,2,1.0,0.0004139721998717113,-0.19394215529670045,0.006414578277506531,-0.025425811921420127,0,-0.02542457091518946,0,-0.025425811921420127,0,-0.025321819658289613,0
445,8,2.0,0.008929398933861398,-0.029118692346722423,0.0020436962331215154,-0.0003538028605413468,0,-0.009157533916426791,0,-0.007434301763654366,0,-0.01021278338682216,0
446,2,1.0,0.004041061673330415,-0.23921658431998505,0.001873710051235061,-0.04182230712705959,0,-0.09379399492273777,0,-0.04182230712705959,0,-0.015003020846950932,0
447,2,1.0,0.0033093575418989317,-0.010367368081076562,1.2651507175995935,-4.1666055979913675e-05,0,-4.1665943692482795e-05,0,-4.1666055979913675e-05,0,-4.166593328311447e-05,0
448,6,2.0,0.0007720557470978343,-0.05255099797317713,0.03271602982069015,-0.0003013911412605638,0,-0.0012072920161924558,0,-0.0012146219007459769,0,-0.0012815091831638314,0
449,7,1.0,0.00038328712343651053,-0.037253728803958046,0.001087039776332945,-0.0002601362246027472,0,-0.00028105090323815585,0,-0.00028019688888436534,0,-0.00038684581356729364,0
450,7,2.0,0.01785230321768391,-1.530994445123049,0.015133102739418893,-10.108105505746877,0,-63.489616546970595,0,-49.00231741530247,0,-72.16621670122996,0
451,8,1.0,0.003333885254384743,-0.05518019936946516,8.125867455383853,-0.00017927792179311573,0,-0.00018712530390193994,0,-0.00018722455980648515,0,-0.0001872570876754856,0
452,2,2.0,0.0010290601182282376,-0.08955518148248458,0.003280645886836215,-0.023066569086136246,0,-0.02782981290405706,0,-0.023066569086136246,0,0.16324988268473706,1
453,6,1.0,0.004295525070473741,-0.06777213588671006,0.004751976811815361,-0.015359410766415782,0,-0.016753683049278156,0,-0.01697756638407666,0,-0.01956705725725416,0
454,2,2.0,0.0027017602772812007,-0.0772992828862885,0.014933600558772154,-0.167818126980654,0,-0.1678172190261108,0,-0.167818126980654,0,-0.16777706379561522,0
455,5,1.0,0.0009139321905505529,-0.10119899195972894,0.055491305875902286,-0.011471378023087828,0,-0.008984999363575844,0,-0.011322648657762086,0,-0.017492932042986756,0
456,3,1.0,0.006415261559992139,-1.286195703644415,8.030930868593753,-0.10192793489343488,0,-0.10174675500694598,0,-0.10200460406219283,0,-0.10233277928139149,0
457,7,2.0,0.0047179033748587325,-5.647161516272809,0.008528687057646976,-13.693569804785966,0,-310.1507312380975,0,-120.03506246719621,0,-445.3237153844227,0
458,7,1.0,0.02004611225849041,-0.012723795567959117,0.16976234994839856,-9.563529719191447e-06,0,-0.00020868372042664567,0,-7.856259769551392e-05,0,-0.00028828257563752403,0
459,2,1.0,0.0030287624296906675,-0.011306396474661211,1.087539497690317,-5.8752925771718904e-05,0,-5.875290809580329e-05,0,-5.8752925771718904e-05,0,-5.87528500765384e-05,0
460,2,2.0,0.0028770191300009707,-3.9244983382431804,3.2115092476859197,-2.39246918418404,0,-2.3924626071329644,0,-2.39246918418404,0,-2.3924530606140886,0
461,5,1.0,0.012811570260447302,-0.2782582617800543,8.701602916326722,-0.004022590136756451,0,-0.004426168915438671,0,-0.004431911916406427,0,-0.004428033693286834,0
462,4,2.0,0.02894279725835948,-6.424892963410683,0.017666766645241538,-747.8137250808097,0,-1055.064298463758,0,-1061.13096090908,0,-1133.1972330372396,0
463,5,2.0,0.0017285324255005108,-0.9048537263272716,4.600109941769242,-0.08875245023433416,0,-0.08875261645219894,0,-0.0887527339066137,0,-0.08875262832580291,0
464,6,2.0,0.010861555226032774,-0.2154082829034329,0.017500384757735632,-0.6555236786345193,0,-0.5335308631148311,0,-0.5901808985924091,0,-1.1125937953668488,0
465,2,1.0,0.00032931303446433495,-2.636197295856798,1.207946697469578,-2.8735754122105903,0,-2.873579431114938,0,-2.8735754122105903,0,-2.8735754107593423,0
466,4,1.0,0.02276705655434692,-7.743558941282248,0.0926964344925423,-301.79534453399606,0,-323.3291818538075,0,-322.8325757278165,0,-323.4159008331909,0
467,7,2.0,0.009906195740979907,-2.6261072285474354,0.3651323872705112,-8.520619766146577,0,-9.35037503339701,0,-9.323251260981158,0,-9.428497346931383,0
468,5,1.0,0.014253952852157149,-0.02179205045430894,0.0011605598698399848,-0.0009454700210747014,0,-0.002250101137943855,0,-0.002411783778494825,0,-0.010973532335550595,0
469,8,2.0,0.000585929152717866,-3.0286836730981848,0.0022401951267372847,-11.202409738843926,0,-32.799062932294646,0,-13.945455036081512,0,-39.94786976424143,0
470,3,1.0,0.00031758881615072523,-0.13460593451356254,1.8062780861958407,-0.004744697411796536,0,-0.004745980237995783,0,-0.004744787033453678,0,-0.004760072821638884,0
471,2,2.0,0.0009833932058806586,-0.13691551895151308,6.477764057891183,-0.0014468748798033605,0,-0.0014468773427651525,0,-0.0014468748798033605,0,-0.0014468708688169267,0
472,8,2.0,0.0013650330691680418,-0.049268745463213276,1.1886955822285241,-0.0005549825916169164,0,-0.0007287302742419167,0,-0.0006094649259562422,0,-0.0007332567779291619,0
473,5,2.0,0.0039492441240301535,-0.05153191795685304,1.9188438443475375,-0.00019081114136473658,0,-0.0005890709749484214,0,-0.0005817499618187396,0,-0.0006025028244181789,0
474,2,1.0,0.001162732006555305,-0.09588337107701896,0.004010305810180393,-0.09370620064878366,0,-0.09370661002991976,0,-0.09370620064878366,0,-0.09367852704203417,0
475,6,2.0,0.017725050320472346,-1.0390081342072517,0.12881353636631232,-0.9595231513826219,0,-4.164604103191918,0,-3.6225344206643095,0,-4.182648008664199,0
