block,n_cells,max_rel_closed_form,max_rel_vs_common,cold_cells,cold_misclass_k1,cold_misclass_k2,kappa,weight,predictor,paired,n_active,false_neg,false_pos,fn_frac,first_fn_grid_amplitude,b,m_over_M,q_n_norm,qdot_n_norm,index,dE,dE_over_Eminus,family,cold_index,x_star_closed,x_star_measured,x_star_absmin,x_star_absmedian,x_star_k1,x_star_k2,warm,shared_body,n_both_active,row2_only_false_neg,order_sign_flips,max_fn_coupling,cum_sweep_dE,energy_band,half_peak_growth,cum_sweep_rigid,cum_sweep_modal,cum_gravity_lift,n_injecting,label,M,m,n_steps,inject_frac,cum_sweep_first_half,cum_sweep_minus_ground,cum_gravity_lift_excluded,cum_predictor_dE,peak_step_inj,E_impact,Emodal_peak,Emodal_peak_over_impact,Emodal_peak_h1,Emodal_peak_h2,E0,E_final,E_max,cold_control_cells,cold_misclassified,warm_onerow_cells_mass,warm_onerow_false_neg,warm_onerow_false_pos,tworow_cells_mass,tworow_false_neg,tworow_false_pos,tworow_order_sign_flips,combined_cells_mass,combined_false_neg,combined_false_pos,combined_cells_matched,combined_injecting_matched,instrument_cells
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,0.039810717055349734,-0.5,-1.0,0.051323756753723034,6.739558454682548e-05,0.00012931764154942407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,0.15848931924611134,-2.0,-1.0,0.04606602013973831,0.001511247472828381,0.0025244993315653914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,0.15848931924611134,-1.5,-1.0,0.04606602013973831,0.0009961883006376349,0.0016832302047123133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,0.15848931924611134,-1.0,-1.0,0.04606602013973831,0.0005726273311027485,0.0009754523504845882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,0.15848931924611134,-0.5,-1.0,0.04606602013973831,0.0002405645642233889,0.0004117480448966563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,0.630957344480193,-2.0,-1.0,0.032721267967355604,0.004244106395661085,0.00475443160974448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,0.630957344480193,-1.5,-1.0,0.032721267967355604,0.002800484927202529,0.003235359483563385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,0.630957344480193,-1.0,-1.0,0.032721267967355604,0.0016119267051057928,0.001904217561251147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,0.630957344480193,-0.5,-1.0,0.032721267967355604,0.0006784317293714315,0.0008120916859035926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,2.5118864315095797,-2.0,-1.0,0.015196104245638536,0.007775324645651338,0.003768537763236945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_warm_fn,,,,,,,1.0,mass,symplectic,,,,,,,0.0533669923120631,2.5118864315095797,-1.5,-1.0,0.015196104245638536,0.005137519671923663,0.0026273123320046973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
