M,m,b,order,n,E_plus,dE,D_modal,lam_c,lam_s,Cc,n_conv,converged_flag
1.0,0.01,0.25,A,1,0.49406920890108813,-0.0059307910989118695,0.0039211841976276845,9.900990099009901e-06,1.9801980198019803e-06,-0.00019801980198019798,,False
1.0,0.01,0.25,A,2,0.49383665165772334,-0.006163348342276664,0.005627885289429166,1.1861582197823743e-05,2.372316439564749e-06,-3.921184197627683e-05,,False
1.0,0.01,0.25,A,3,0.4938275326598459,-0.006172467340154086,0.006002321893176127,1.22498182569948e-05,2.4499636513989604e-06,-7.764721183420873e-06,,False
1.0,0.01,0.25,A,4,0.4938271750871422,-0.0061728249128578105,0.006077898046119214,1.2326696684553423e-05,2.465339336910685e-06,-1.5375685511725273e-06,,False
1.0,0.01,0.25,A,6,0.49382716051626524,-0.00617283948373476,0.006095896490442794,1.2344934680307945e-05,2.468986936061589e-06,-6.029089505638421e-08,,False
1.0,0.01,0.25,A,8,0.4938271604938615,-0.0061728395061385055,0.006096602784767504,1.2345649825715437e-05,2.469129965143087e-06,-2.3641170494772407e-09,,False
1.0,0.01,0.25,A,12,0.4938271604938271,-0.006172839506172922,0.0060966315667124885,1.2345678967469236e-05,2.469135793493847e-06,-3.63499204694695e-12,,False
1.0,0.01,0.25,A,16,0.49382716049382713,-0.006172839506172867,0.006096631610966754,1.2345679012276679e-05,2.4691358024553355e-06,-5.589062199162775e-15,,False
1.0,0.01,0.25,A,24,0.49382716049382724,-0.006172839506172756,0.006096631611034904,1.234567901234568e-05,2.469135802469136e-06,0.0,,False
1.0,0.01,0.25,A,32,0.49382716049382724,-0.006172839506172756,0.006096631611034904,1.234567901234568e-05,2.469135802469136e-06,0.0,,False
1.0,0.01,0.25,A,48,0.49382716049382724,-0.006172839506172756,0.006096631611034904,1.234567901234568e-05,2.469135802469136e-06,0.0,,False
1.0,0.01,0.25,A,64,0.49382716049382724,-0.006172839506172756,0.006096631611034904,1.234567901234568e-05,2.469135802469136e-06,0.0,,False
1.0,0.01,0.25,B,1,0.4962748750122537,-0.0037251249877462977,0.006126850308793255,9.900990099009901e-06,0.0,0.0,,False
