t,total,KE_slab,PEel_slab,KE_cubes,max_pen,impactor_y,KE_body0,KE_body1,KE_body2,KE_body3
0.08,-0.29284968,0.045996759,0.080589011,0.0066893046,5.2524416e-06,nan,0.045996759,0.0044347546,5.8295445e-07,0.0022539671
0.0805,-0.29387489,0.05067384,0.068900372,0.0066911831,6.4524939e-06,nan,0.05067384,0.004681396,3.6981775e-06,0.0020060889
0.081,-0.2948729,0.054190357,0.058140531,0.0067723599,7.0639919e-06,nan,0.054190357,0.0049784649,2.1248816e-05,0.0017726462
0.0815,-0.29583849,0.056704269,0.048340737,0.0068042106,6.2692828e-06,nan,0.056704269,0.0051973369,5.3234869e-05,0.0015536388
0.082,-0.29677045,0.058429092,0.039433421,0.0066841641,4.4127443e-06,nan,0.058429092,0.0052354408,9.9656337e-05,0.0013490669
0.0825,-0.29767181,0.059504583,0.031342547,0.0063847957,2.245899e-06,nan,0.059504583,0.0050653521,0.00016051322,0.0011589304
0.083,-0.29854784,0.059951416,0.024044089,0.0059502943,5.3276143e-07,nan,0.059951416,0.0047312594,0.00023580552,0.00098322936
0.0835,-0.29940168,0.059637303,0.017583486,0.005516353,0,nan,0.059637303,0.004368856,0.00032553323,0.00082196369
0.084,-0.30023795,0.058472881,0.012054673,0.0051257164,0,nan,0.058472881,0.0040208866,0.00042969636,0.00067513344
0.0845,-0.30105723,0.056402899,0.0075613719,0.0047784125,0,nan,0.056402899,0.003687379,0.0005482949,0.0005427386
0.085,-0.30337223,0.053197522,0.0041734786,0.0029545711,1.7207927e-05,nan,0.053197522,0.0023223672,0.00020742477,0.00042477918
0.0855,-0.30561786,0.04787307,0.0018990287,0.0015032262,3.8975739e-05,nan,0.04787307,0.0010841333,9.7837717e-05,0.00032125517
0.086,-0.30723322,0.041024663,0.00068951605,0.0021266951,3.7404827e-05,nan,0.041024663,0.00087954896,0.0010149795,0.00023216658
0.0865,-0.30851363,0.033771869,0.00041727155,0.0036522137,4.0038771e-05,nan,0.033771869,0.001292662,0.0022020383,0.0001575134
0.087,-0.30958517,0.026995607,0.00083831264,0.0050494879,3.2706959e-05,nan,0.026995607,0.001923673,0.0030285192,9.7295638e-05
0.0875,-0.31050789,0.021160708,0.0016291377,0.0056462232,1.8685796e-05,nan,0.021160708,0.0023075492,0.0032871607,5.151329e-05
0.088,-0.31132049,0.016419478,0.0024973657,0.0052687531,3.9686322e-06,nan,0.016419478,0.0022391808,0.003009406,2.0166358e-05
0.0885,-0.31192313,0.012385938,0.0032823299,0.0047155114,0,nan,0.012385938,0.0019919448,0.0027203117,3.2548406e-06
0.089,-0.3124842,0.0089694738,0.0039261733,0.0042062215,0,nan,0.0089694738,0.0017589625,0.0024464802,7.7873825e-07
0.0895,-0.31302064,0.0061592661,0.0044348846,0.0037412133,0,nan,0.0061592661,0.0015406751,0.0021878002,1.2738051e-05
0.09,-0.31353751,0.0039183199,0.0048408869,0.0033198165,0,nan,0.0039183199,0.0013369739,0.0019437099,3.9132779e-05
0.0905,-0.31403636,0.0022235768,0.0051642266,0.0029417246,0,nan,0.0022235768,0.0011477267,0.001714035,7.9962921e-05
0.091,-0.31451725,0.001087942,0.0053900671,0.0026069227,0,nan,0.001087942,0.00097290752,0.0014987867,0.00013522848
0.0915,-0.31498056,0.00055601442,0.0054714799,0.0023154349,0,nan,0.00055601442,0.00081252431,0.0012979811,0.00020492945
0.092,-0.31542805,0.00068104007,0.0053510188,0.0020672621,0,nan,0.00068104007,0.00066657988,0.0011116164,0.00028906584
0.0925,-0.31586303,0.0014970839,0.0049875266,0.0018623982,0,nan,0.0014970839,0.0005350723,0.0009396883,0.00038763764
0.093,-0.31628983,0.0029975766,0.0043769981,0.0017008404,0,nan,0.0029975766,0.00041800016,0.0007821954,0.00050064486
