t,total,KE_slab,PEel_slab,KE_cubes,max_pen,impactor_y,KE_body0,KE_body1,KE_body2,KE_body3
0.072,-0.26368087,0.019462847,0.17077199,0.010480177,0,nan,0.019462847,0.0004207639,0.0018650816,0.0081943319
0.0725,-0.26589347,0.012136313,0.17813816,0.0098932038,0,nan,0.012136313,0.0005381698,0.0016400727,0.0077149613
0.073,-0.26795166,0.0079601164,0.18191425,0.0093495824,0,nan,0.0079601164,0.00066996732,0.0014295218,0.0072500932
0.0735,-0.26987193,0.0063352163,0.18271119,0.0088495912,0,nan,0.0063352163,0.00081623819,0.001233568,0.0067997851
0.074,-0.27166868,0.0063586093,0.18143031,0.0083930119,0,nan,0.0063586093,0.00097697247,0.0010520948,0.0063639446
0.0745,-0.27335462,0.0071584345,0.17892831,0.0079796796,0,nan,0.0071584345,0.0011521384,0.00088502502,0.0059425161
0.075,-0.27494094,0.0081846826,0.17572995,0.0076096237,0,nan,0.0081846826,0.0013417325,0.00073237735,0.0055355138
0.0755,-0.27643757,0.0093522838,0.17189066,0.0072828986,0,nan,0.0093522838,0.0015457636,0.0005941777,0.0051429574
0.076,-0.2778533,0.010989703,0.16705447,0.0069994997,0,nan,0.010989703,0.0017642334,0.00047042258,0.0047648438
0.0765,-0.28020863,0.012969375,0.16109906,0.0055672687,2.4114309e-05,nan,0.012969375,0.00080500244,0.0003611017,0.0044011646
0.077,-0.2822041,0.014985147,0.15395962,0.0043307748,4.74981e-05,nan,0.014985147,1.2642114e-05,0.00026621382,0.0040519188
0.0775,-0.2838056,0.017631578,0.14537674,0.0048225253,4.887632e-05,nan,0.017631578,0.00091965459,0.00018576179,0.0037171089
0.078,-0.2851652,0.02157462,0.13514411,0.006175142,3.6618728e-05,nan,0.02157462,0.0026586603,0.00011974632,0.0033967354
0.0785,-0.28636861,0.027051346,0.12336404,0.0071445797,2.1307383e-05,nan,0.027051346,0.0039856158,6.8166474e-05,0.0030907974
0.079,-0.28746545,0.033667047,0.11052561,0.0073891852,1.004959e-05,nan,0.033667047,0.0045588688,3.1021785e-05,0.0027992946
0.0795,-0.28848531,0.040565865,0.097345954,0.0072269492,5.4464608e-06,nan,0.040565865,0.0046964095,8.3124491e-06,0.0025222272
0.08,-0.28944639,0.046860145,0.084512089,0.0070317233,4.7527265e-06,nan,0.046860145,0.0047720894,3.8630911e-08,0.0022595954
0.0805,-0.29036035,0.051997719,0.072492087,0.0069669299,5.6759075e-06,nan,0.051997719,0.0049493307,6.2002825e-06,0.0020113989
0.081,-0.29123498,0.055865054,0.061479654,0.0070053527,6.5760267e-06,nan,0.055865054,0.0052009175,2.6797334e-05,0.0017776379
0.0815,-0.29207575,0.058658519,0.051448616,0.0070285854,6.1180837e-06,nan,0.058658519,0.0054084433,6.1829786e-05,0.0015583122
0.082,-0.2928867,0.060668075,0.042266413,0.0069201804,4.4427786e-06,nan,0.060668075,0.0054554607,0.00011129766,0.001353422
0.0825,-0.29367096,0.062098925,0.033812966,0.0066286002,2.3378584e-06,nan,0.062098925,0.005290432,0.00017520095,0.0011629672
0.083,-0.29443107,0.06299052,0.0260597,0.0061819915,5.1773413e-07,nan,0.06299052,0.004941504,0.00025353966,0.00098694786
0.0835,-0.29516671,0.063150176,0.019087862,0.0057425389,0,nan,0.063150176,0.0045708612,0.00034631379,0.0008253639
0.084,-0.29588194,0.062434399,0.013053329,0.0053464698,0,nan,0.062434399,0.0042147311,0.00045352332,0.00067821535
0.0845,-0.29657844,0.060721053,0.0081267676,0.0049937956,0,nan,0.060721053,0.0038731251,0.00057516828,0.00054550222
0.085,-0.29863894,0.057895732,0.0044291797,0.0031895285,1.5024168e-05,nan,0.057895732,0.0024855536,0.00027675033,0.0004272245
0.0855,-0.30089694,0.052676301,0.001991691,0.0015133886,3.9453511e-05,nan,0.052676301,0.0011255688,6.4437632e-05,0.0003233822
0.086,-0.30248773,0.04560123,0.0007687121,0.0020354519,3.805077e-05,nan,0.04560123,0.00087132652,0.00093015003,0.00023397531
0.0865,-0.30374414,0.037856041,0.00061276567,0.0036189645,4.2118008e-05,nan,0.037856041,0.0012861475,0.0021738131,0.00015900384
0.087,-0.30480541,0.03044676,0.0012303856,0.0052005128,3.5891095e-05,nan,0.03044676,0.0019772147,0.0031248304,9.8467778e-05
0.0875,-0.30573778,0.023970812,0.0022281685,0.0060341209,2.1918803e-05,nan,0.023970812,0.0024674705,0.0035142833,5.2367135e-05
0.088,-0.30657741,0.0186862,0.0032527888,0.0058478824,6.5243754e-06,nan,0.0186862,0.0024964403,0.0033307402,2.0701907e-05
0.0885,-0.30723554,0.014329246,0.0041192684,0.0052636283,0,nan,0.014329246,0.0022351015,0.0030250547,3.4720945e-06
0.089,-0.30783848,0.010649511,0.0047939734,0.0047237416,0,nan,0.010649511,0.0019871483,0.0027359156,6.7769682e-07
0.0895,-0.30841807,0.0075999877,0.0053237778,0.00422911,0,nan,0.0075999877,0.0017545587,0.0024622326,1.2318714e-05
0.09,-0.30897731,0.0051058445,0.0057802157,0.0037779756,0,nan,0.0051058445,0.0015368123,0.0022027681,3.8395146e-05
0.0905,-0.30951849,0.0031222693,0.0062037523,0.0033699448,0,nan,0.0031222693,0.001333367,0.0019576708,7.8906994e-05
0.091,-0.31004344,0.0016679092,0.0065717236,0.0030052855,0,nan,0.0016679092,0.0011443166,0.0017271146,0.00013385426
0.0915,-0.31055366,0.00081911986,0.0068046091,0.0026840284,0,nan,0.00081911986,0.00096975849,0.001511033,0.00020323693
0.092,-0.31105043,0.00067413137,0.0068015706,0.0024060933,0,nan,0.00067413137,0.00080965724,0.0013093811,0.00028705503
0.0925,-0.31153486,0.00130906,0.0064834981,0.0021714568,0,nan,0.00130906,0.00066398402,0.0011221642,0.00038530853
0.093,-0.31200791,0.0027441856,0.0058254053,0.0019801265,0,nan,0.0027441856,0.00053274317,0.00094938591,0.00049799746
0.0935,-0.31247045,0.0049290691,0.0048698841,0.0018321066,0,nan,0.0049290691,0.00041594043,0.00079104439,0.00062512179
0.094,-0.31292323,0.0077470586,0.0037213386,0.0017273953,0,nan,0.0077470586,0.00031357481,0.00064713898,0.00076668154
0.0945,-0.31336695,0.011034761,0.0025256266,0.0016659906,0,nan,0.011034761,0.00022564455,0.0005176693,0.00092267671
0.095,-0.3138022,0.014609016,0.0014426906,0.0016478916,0,nan,0.014609016,0.00015214939,0.00040263493,0.0010931073
0.0955,-0.31422954,0.018292859,0.00062072501,0.0016730989,0,nan,0.018292859,9.3089674e-05,0.00030203596,0.0012779733
0.096,-0.31464946,0.021933436,0.00017884202,0.0017416128,0,nan,0.021933436,4.8465522e-05,0.00021587253,0.0014772747
0.0965,-0.31506242,0.02540853,0.00020147946,0.001853433,0,nan,0.02540853,1.8276838e-05,0.00014414459,0.0016910115
0.097,-0.31546881,0.028622647,0.00074342471,0.0020085594,0,nan,0.028622647,2.5235473e-06,8.6852036e-05,0.0019191838
0.0975,-0.31586899,0.031497001,0.0018409676,0.002206992,0,nan,0.031497001,1.2056567e-06,4.3994884e-05,0.0021617914
0.098,-0.31626331,0.033959087,0.0035233613,0.0024487309,0,nan,0.033959087,1.432319e-05,1.5573159e-05,0.0024188345
0.0985,-0.31665207,0.035936674,0.0058196499,0.002733776,0,nan,0.035936674,4.1876149e-05,1.5868589e-06,0.002690313
0.099,-0.31703552,0.037358623,0.0087584227,0.0030621274,0,nan,0.037358623,8.3864522e-05,2.0359728e-06,0.0029762269
0.0995,-0.31741394,0.03816191,0.01236111,0.003433785,0,nan,0.03816191,0.00014028831,1.6920499e-05,0.0032765762
0.1,-0.31778754,0.038301875,0.016631852,0.0038487489,0,nan,0.038301875,0.00021114751,4.6240441e-05,0.0035913609
0.1005,-0.31815652,0.037761738,0.021547952,0.004307019,0,nan,0.037761738,0.00029644213,8.9995799e-05,0.0039205811
0.101,-0.31852109,0.036558088,0.027054307,0.0048085954,0,nan,0.036558088,0.00039617216,0.00014818657,0.0042642367
0.1015,-0.31888141,0.034740781,0.03306344,0.005353478,0,nan,0.034740781,0.00051033761,0.00022081276,0.0046223276
0.102,-0.32002684,0.03238773,0.039460714,0.0048414868,2.0895085e-05,nan,0.03238773,0.00063893847,0.0010119537,0.0031905947
0.1025,-0.32072087,0.029596604,0.046112745,0.0051672033,1.9589571e-05,nan,0.029596604,0.00078197474,0.0022465169,0.0021387117
0.103,-0.32122028,0.026476006,0.052876464,0.0059055535,8.1797012e-06,nan,0.026476006,0.00093944644,0.0030620234,0.0019040837
0.1035,-0.32161682,0.023138251,0.059606672,0.0066285989,0,nan,0.023138251,0.0011113535,0.0033688994,0.002148346
0.104,-0.32196269,0.0196948,0.066161027,0.0073889417,0,nan,0.0196948,0.0012976961,0.0036873993,0.0024038464
0.1045,-0.32230271,0.016254188,0.072402555,0.0081904378,0,nan,0.016254188,0.001498474,0.0040192557,0.002672708
0.105,-0.3226382,0.012921419,0.078200697,0.0090375234,0,nan,0.012921419,0.0017136874,0.0043666191,0.002957217
0.1055,-0.32296985,0.0097974863,0.08343217,0.0099289829,0,nan,0.0097974863,0.0019433361,0.0047289529,0.0032566939
0.106,-0.32329802,0.0069779699,0.087982679,0.010863609,0,nan,0.0069779699,0.0021874203,0.0051056634,0.0035705251
0.1065,-0.32377293,0.0045502665,0.091749897,0.01166032,6.5720462e-06,nan,0.0045502665,0.002912213,0.004849373,0.0038987337
