substep_index,t_substep_s,q_norm_m,qdot_norm,q_acc_norm,KE_modal_J,PE_modal_J,P_damp_W,contact_lambda_max,max_support_deflection_m,n_iter_solves
2463,1.2828125,0.00014520557651804254,2.8944783429714056e-05,0.02498242960882451,3.518040860643877e-10,0.00031412283192109767,1.4895051682041347e-10,1.227350115776062,0.00014692222558290225,5
2464,1.2833333333333332,0.00014522044038679698,2.8142395993341107e-05,0.026178486834780676,3.334553964895425e-10,0.00031418632876141457,1.353888126734757e-10,1.2286930084228516,0.00014693703462443402,5
2465,1.2838541666666667,0.00014523522998719925,2.8660323303868452e-05,0.027370521006633865,3.45025686174587e-10,0.0003142493589677777,1.3701443058718965e-10,1.2272772789001465,0.00014695172872603734,5
2466,1.284375,0.00014525014994461172,2.8635479871049817e-05,0.027895595866482412,3.4528623796203625e-10,0.0003143135439344031,1.419328887829736e-10,1.2286783456802368,0.00014696673236143512,5
2467,1.2848958333333333,0.00014526504592958275,2.856863057509727e-05,0.02831047676305827,3.428533858218429e-10,0.0003143775186751868,1.3467451539073103e-10,1.2282086610794067,0.00014698167198904307,5
2468,1.2854166666666667,0.00014527990296563995,2.848598361986056e-05,0.02882103227846736,3.415068153161581e-10,0.0003144412211423489,1.2517237068770326e-10,1.2285912036895752,0.00014699654049165278,5
2469,1.2859375,0.00014529466881644246,2.822185395842972e-05,0.02879381328141279,3.346860859646543e-10,0.000314504234335908,1.2515203714149494e-10,1.2279614210128784,0.00014701122463088432,5
2470,1.2864583333333333,0.00014530947147863208,2.8626613638424298e-05,0.02867817341557249,3.448668869902305e-10,0.00031456763746408355,1.3042685940286318e-10,1.22857666015625,0.0001470260164821125,5
2471,1.2869791666666666,0.00014532437733629226,2.861362958917821e-05,0.0288919130456046,3.4423890765220065e-10,0.00031463197628043947,1.2417329170107265e-10,1.2289729118347168,0.0001470410595313256,5
2472,1.2875,0.00014533921746038455,2.837539157392252e-05,0.029093985298673804,3.3854694980150224e-10,0.00031469569490459614,1.2003058509324478e-10,1.2298519611358643,0.0001470559250138233,5
2473,1.2880208333333334,0.00014535401180186904,2.8438675167305352e-05,0.02902443870927988,3.401783528010381e-10,0.0003147591330056144,1.222349036850855e-10,1.2270232439041138,0.00014707072040042192,5
2474,1.2885416666666667,0.0001453687945448894,2.833084357507227e-05,0.028968141317655835,3.374376017235635e-10,0.0003148225294188236,1.2179699003172531e-10,1.2296483516693115,0.00014708550499803515,5
2475,1.2890625,0.00014538351777548868,2.8211756016020523e-05,0.0286630146968848,3.34806837544691e-10,0.00031488548899452905,1.1945808689666113e-10,1.2273725271224976,0.0001471001731853903,5
2476,1.2895833333333333,0.00014539828301635003,2.8490518184221304e-05,0.028187572521991423,3.4124027024378803e-10,0.00031494889080185845,1.2255629363644456e-10,1.2279545068740845,0.0001471149641652647,5
2477,1.2901041666666666,0.00014541307573603468,2.831579708650756e-05,0.027771075683845015,3.3739541949622985e-10,0.0003150125595478736,1.2363234578816265e-10,1.2288331985473633,0.0001471298230337643,5
2478,1.290625,0.0001454277076510785,2.7880553153164282e-05,0.027646292643056528,3.2647356972789024e-10,0.000315074898271195,1.3778228025250594e-10,1.2273141145706177,0.00014714432435698467,5
2479,1.2911458333333332,0.00014544243091485737,2.866621716520385e-05,0.028127121579107163,3.4619876418773545e-10,0.00031513817802078856,1.6272197928859832e-10,1.229016661643982,0.00014715908779153205,5
2480,1.2916666666666667,0.00014545722831896694,2.816007257391136e-05,0.028406960420403242,3.328421396829674e-10,0.0003152020316395033,1.534792712888394e-10,1.228289008140564,0.00014717399530335794,5
2481,1.2921875,0.00014547175879157037,2.7650883994661717e-05,0.026573760185279877,3.2197741592862627e-10,0.00031526369893364407,1.3953968440182187e-10,1.226499080657959,0.00014718831776115542,5
2482,1.2927083333333333,0.0001454865086997922,2.900488787320484e-05,0.02405623470563599,3.5351795958438754e-10,0.000315327393722055,1.5338928771305482e-10,1.2297149896621704,0.00014720319493831933,5
2483,1.2932291666666667,0.0001455013093014632,2.7842463280888657e-05,0.02357325630327019,3.2626390703320373e-10,0.0003153914129373682,1.316011198864378e-10,1.227895975112915,0.0001472181434701007,5
2484,1.29375,0.00014551580573859824,2.7837626286715022e-05,0.023118250084474365,3.254119459608271e-10,0.00031545292641804186,1.3962707884027084e-10,1.2274852991104126,0.00014723242150517692,5
2485,1.2942708333333333,0.00014553048680940778,2.854455297386137e-05,0.022114609278047575,3.4328885361850795e-10,0.00031551620011849974,1.6063895253179622e-10,1.2289069890975952,0.00014724718562815313,5
