solver,scene,relax,iters,substeps,injects_off,ratio_off,ratio_on,passive_off,passive_on,holds_off,holds_on,cum_gain_off,cum_gain_on,cum_loss_off,cum_loss_on,max_net_excess_on,e_modal_peak_off,e_imp_peak_off,n_clamped_on,n_steps_on,finite_off,finite_on,wall_off_s,wall_on_s
impulse,shelf,1.0,16,4,False,0.46918144535818657,0.46918144535818657,True,True,True,True,16.15654563471012,16.15654563471012,36.15346779513558,36.15346779513558,-0.0022973027343731406,13.583284575168515,28.951026749999983,0,432,True,True,1.0864782080752775,1.0820067499298602
impulse,shelf,1.0,32,8,False,0.5314210974838222,0.5314210974838222,True,True,True,True,19.54524747084462,19.54524747084462,38.35581404298237,38.35581404298237,-0.0005743256835932852,15.385186408768405,28.951026749999833,0,864,True,True,2.6446845829486847,2.662793584051542
impulse,ledge,0.7,4,1,False,0.030151432709171505,0.030151432709171505,True,True,True,True,11.614275456968299,11.614275456968299,394.30981391218154,394.30981391218154,-0.18064451886735416,11.6066251733724,384.94440000000003,0,108,True,True,0.3827220000093803,0.38029574998654425
impulse,ledge,0.7,8,2,False,0.11263165234656994,0.11263165234656994,True,True,True,True,43.599381889619444,43.599381889619444,398.81502739170514,398.81502739170514,-0.04719912890624605,43.356923833559186,384.944400000002,0,216,True,True,0.7408965419745073,0.7393359589623287
impulse,ledge,0.7,16,4,False,0.17839412529890805,0.17839412529890805,True,True,True,True,91.72457667676237,91.72457667676237,416.8280084814682,416.8280084814682,-0.011799782226547728,68.6718195267128,384.94439999999895,0,432,True,True,1.4654355000238866,1.452365459059365
impulse,ledge,0.7,32,8,False,0.14506797962072715,0.14506797962072715,True,True,True,True,111.7919336108234,111.7919336108234,421.9062522538241,421.9062522538241,-0.0029499455566371698,55.84310637431267,384.9443999999974,0,864,True,True,3.0561736669624224,3.0448779170401394
impulse,ledge,1.0,4,1,False,0.030151432709171505,0.030151432709171505,True,True,True,True,11.614275456968299,11.614275456968299,394.30981391218154,394.30981391218154,-0.18064451886735416,11.6066251733724,384.94440000000003,0,108,True,True,0.37513241707347333,0.3745803330093622
impulse,ledge,1.0,8,2,False,0.11263165234656994,0.11263165234656994,True,True,True,True,43.599381889619444,43.599381889619444,398.81502739170514,398.81502739170514,-0.04719912890624605,43.356923833559186,384.944400000002,0,216,True,True,0.7402409580536187,0.7410623750183731
impulse,ledge,1.0,16,4,False,0.17839412529890805,0.17839412529890805,True,True,True,True,91.72457667676237,91.72457667676237,416.8280084814682,416.8280084814682,-0.011799782226547728,68.6718195267128,384.94439999999895,0,432,True,True,1.467931207967922,1.4607289999257773
impulse,ledge,1.0,32,8,False,0.14506797962072715,0.14506797962072715,True,True,True,True,111.7919336108234,111.7919336108234,421.9062522538241,421.9062522538241,-0.0029499455566371698,55.84310637431267,384.9443999999974,0,864,True,True,3.0483944580191746,3.2584992080228403
impulse,dinner,0.7,4,1,False,0.12579060217042193,0.12579060217042193,True,True,True,True,4.320446169728897,4.320446169728897,27.3929516613937,27.3929516613937,-0.03863071960375754,3.034805906945411,24.125855625,0,108,True,True,1.6410181249957532,1.6372810419416055
impulse,dinner,0.7,8,2,False,0.1823704043523023,0.1823704043523023,True,True,True,True,6.414477346839417,6.414477346839417,28.392969670287144,28.392969670287144,-0.009957763124999606,4.399842045676534,24.125855625000092,0,216,True,True,3.436050874995999,3.3030989170074463
impulse,dinner,0.7,16,4,False,0.15005317468838075,0.15005317468838075,True,True,True,True,6.532079490544464,6.532079490544464,28.985275000620902,28.985275000620902,-0.002489440781248394,3.620161228604776,24.125855624999986,0,432,True,True,7.4239169580396265,7.632248666952364
impulse,dinner,0.7,32,8,False,0.1812418599835171,0.1812418599835171,True,True,True,True,7.796398924196528,7.796398924196528,29.427054280436053,29.427054280436053,-0.0006223601953122073,4.372614947168773,24.12585562499986,0,864,True,True,19.330253833089955,19.204914583009668
impulse,dinner,1.0,4,1,False,0.12579060217042193,0.12579060217042193,True,True,True,True,4.320446169728897,4.320446169728897,27.3929516613937,27.3929516613937,-0.03863071960375754,3.034805906945411,24.125855625,0,108,True,True,1.5304890420520678,1.5478078330634162
impulse,dinner,1.0,8,2,False,0.1823704043523023,0.1823704043523023,True,True,True,True,6.414477346839417,6.414477346839417,28.392969670287144,28.392969670287144,-0.009957763124999606,4.399842045676534,24.125855625000092,0,216,True,True,3.311867291922681,3.432215334032662
impulse,dinner,1.0,16,4,False,0.15005317468838075,0.15005317468838075,True,True,True,True,6.532079490544464,6.532079490544464,28.985275000620902,28.985275000620902,-0.002489440781248394,3.620161228604776,24.125855624999986,0,432,True,True,7.628307583043352,7.742151208920404
impulse,dinner,1.0,32,8,False,0.1812418599835171,0.1812418599835171,True,True,True,True,7.796398924196528,7.796398924196528,29.427054280436053,29.427054280436053,-0.0006223601953122073,4.372614947168773,24.12585562499986,0,864,True,True,18.8981362079503,18.884644750040025
